"","date","year","pollinator","block","plot","sum.visits","bumblebees","hoverflies","other.flies","ref.id","acmi","anlu","assu","caly","cami","capl","clsi","copa","frca","gatr","glma","grass","juba","plmc","plmr","poan","sili","trma","trwo","pc1","pc2","pc3","pc4"
"83","14-Jul-18",2018,2,2,"C",3,0,0,1,"14-Jul-18_2018_2_2_C",1,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,1.64560431385719,-2.00130003991345,0.81744729657711,-0.15150086083288
"84","14-Jul-18",2018,2,2,"D",0,0,0,0,"14-Jul-18_2018_2_2_D",2,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,1.6078841648059,-1.70498128161828,0.882268406947986,-0.421267000165026
"85","14-Jul-18",2018,2,3,"A",1,0,0,1,"14-Jul-18_2018_2_3_A",0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,2,1.67425390175946,-2.35623567590916,0.735217704295906,0.341517073185958
"86","14-Jul-18",2018,2,3,"B",1,0,0,1,"14-Jul-18_2018_2_3_B",0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,1.36903261778293,-1.53540558103676,0.588185520833844,0.480950172744148
"87","14-Jul-18",2018,2,3,"C",1,0,0,1,"14-Jul-18_2018_2_3_C",7,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,1.8302808658925,-1.88247361374171,1.14800117739212,-1.23135337789372
"88","14-Jul-18",2018,2,3,"D",0,0,0,0,"14-Jul-18_2018_2_3_D",0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,5,1.47354925589579,-1.7527624773304,0.691398077690717,0.451054584489907
"89","14-Jul-18",2018,2,4,"A",1,0,0,0,"14-Jul-18_2018_2_4_A",0,0,1,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,4,1.71759812228914,-2.07104799633606,0.703532365215038,0.122584104702372
"90","14-Jul-18",2018,2,4,"B",0,0,0,0,"14-Jul-18_2018_2_4_B",0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,1,1.43032759214035,-1.67897605407372,0.635359170870467,0.458907561854177
"91","14-Jul-18",2018,2,4,"C",1,0,1,0,"14-Jul-18_2018_2_4_C",0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,1,1.57515039072808,-2.09191159611515,0.685656575747676,0.386175389500037
"92","14-Jul-18",2018,2,4,"D",0,0,0,0,"14-Jul-18_2018_2_4_D",0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,1,1.52251068427687,-1.94181916641275,0.667374643249388,0.412611836244724
"93","14-Jul-18",2018,2,5,"A",4,0,4,0,"14-Jul-18_2018_2_5_A",0,0,0,0,1,0,0,0,0,0,0,90,0,0,0,0,0,0,0,1.62786179927217,-2.22651798707731,0.0615174614968847,0.17795978815716
"94","14-Jul-18",2018,2,5,"B",0,0,0,0,"14-Jul-18_2018_2_5_B",2,0,0,0,6,0,0,0,0,0,0,34,0,0,0,0,0,0,0,1.55314218411239,-1.41725396048913,-0.867647056243329,-0.87945419123962
"95","14-Jul-18",2018,2,5,"C",2,0,0,0,"14-Jul-18_2018_2_5_C",3,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,1.83697573401991,-2.22426160107858,1.01711875356558,-0.741163043395783
"96","14-Jul-18",2018,2,5,"D",4,0,4,0,"14-Jul-18_2018_2_5_D",1,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,1.60049482712318,-1.87267864509599,0.801780632625099,-0.128846202892696
"97","14-Jul-18",2018,2,6,"A",4,0,1,1,"14-Jul-18_2018_2_6_A",1,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1.50227275737859,-1.59261650014412,0.767667804686421,-0.0795176125373857
"98","14-Jul-18",2018,2,6,"B",7,0,4,3,"14-Jul-18_2018_2_6_B",12,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1.76284513364101,-1.46416198195893,1.21788441378985,-1.5431899881274
"99","14-Jul-18",2018,2,6,"C",5,0,2,0,"14-Jul-18_2018_2_6_C",3,0,0,0,12,0,0,0,0,0,0,203,0,0,0,0,0,0,0,2.16307935709381,-2.98056744315925,-1.15116842593989,-1.54512249061841
"100","14-Jul-18",2018,2,6,"D",6,0,4,0,"14-Jul-18_2018_2_6_D",4,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1.48109174555918,-1.10563813050114,0.936402406043018,-0.721321236687205
"101","15-Jul-18",2018,2,1,"A",5,0,5,0,"15-Jul-18_2018_2_1_A",4,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,2.05266933264775,-2.73538636796644,1.1349130659452,-1.00837603733522
"102","15-Jul-18",2018,2,1,"B",1,0,1,0,"15-Jul-18_2018_2_1_B",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1.09645534516858,-0.758201681424264,0.493518592872887,0.617842549945368
"103","15-Jul-18",2018,2,1,"C",1,0,1,0,"15-Jul-18_2018_2_1_C",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1.15765156011354,-0.932691419473854,0.514772227176706,0.587108896845151
"104","15-Jul-18",2018,2,1,"D",0,0,0,0,"15-Jul-18_2018_2_1_D",3,0,0,0,6,0,0,0,0,0,0,28,0,0,0,0,0,0,0,1.53491396599095,-1.23134744861593,-0.81869163500394,-1.07514254359239
"105","15-Jul-18",2018,2,18,"A",0,0,0,0,"15-Jul-18_2018_2_18_A",8,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,4,1.46136016858993,-0.655982588416048,1.13450674323828,-1.2495859022714
"106","15-Jul-18",2018,2,18,"B",1,0,1,0,"15-Jul-18_2018_2_18_B",3,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,4,1.15650033856947,-0.992293933849062,0.825754791115347,-0.308935121389053
"107","15-Jul-18",2018,2,18,"C",2,0,1,1,"15-Jul-18_2018_2_18_C",8,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,4,1.75654522849581,-1.54494927516517,1.20513263176619,-1.25789402624437
"108","15-Jul-18",2018,2,18,"D",2,2,0,0,"15-Jul-18_2018_2_18_D",6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1.21088133035489,-0.178536232547866,0.907220024086926,-0.825201201954608
"109","15-Jul-18",2018,2,22,"A",10,0,10,0,"15-Jul-18_2018_2_22_A",2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2,1.31864828270334,-0.830826232652444,0.822843782117359,-0.262154832803617
"110","15-Jul-18",2018,2,22,"B",1,0,1,0,"15-Jul-18_2018_2_22_B",0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0.92333152845898,-0.326726001199932,0.453025848951969,0.700709460557831
"111","15-Jul-18",2018,2,22,"C",0,0,0,0,"15-Jul-18_2018_2_22_C",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1.04085485425999,-0.599667120049951,0.47420837079548,0.645765946863349
"112","15-Jul-18",2018,2,22,"D",0,0,0,0,"15-Jul-18_2018_2_22_D",1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1.1732806852179,-0.654556188026156,0.653407842745185,0.0857071195412507
